id_product;name;brand;priceU;salePriceU;article
184330983;SIMPLE STORY;SIMPLE STORY;36860.0;28713.0;1020-LED15PL
183434377;SIMPLE STORY;SIMPLE STORY;29568.0;23033.0;1024-LED30PL
185013167;SIMPLE STORY;SIMPLE STORY;23950.0;19639.0;1077-7PL
182843520;SIMPLE STORY;SIMPLE STORY;24300.0;18929.0;1001-10PL
185013168;SIMPLE STORY;SIMPLE STORY;23975.0;18676.0;1078-7PL
182926748;SIMPLE STORY;SIMPLE STORY;21278.0;17447.0;1001-7PL
185379563;SIMPLE STORY;SIMPLE STORY;21555.0;16791.0;1072-9CL
187638702;SIMPLE STORY;SIMPLE STORY;21207.0;16520.0;1014-9PL
185485163;SIMPLE STORY;SIMPLE STORY;20877.0;16263.0;1048-12PL
185145789;SIMPLE STORY;SIMPLE STORY;19053.0;14842.0;1057-8PL
185485161;SIMPLE STORY;SIMPLE STORY;17082.0;14007.0;1017-10PL
185485162;SIMPLE STORY;SIMPLE STORY;17910.0;13951.0;1018-10PL
187360908;SIMPLE STORY;SIMPLE STORY;17442.0;13587.0;1056-LED24PL
182926747;SIMPLE STORY;SIMPLE STORY;15732.0;12255.0;1001-5PL
185403124;SIMPLE STORY;SIMPLE STORY;15249.0;11878.0;1159-LED30PL
186842114;SIMPLE STORY;SIMPLE STORY;12957.0;10624.0;1009-8CL
186613373;SIMPLE STORY;SIMPLE STORY;9930.0;8142.0;1074-8CL
182429290;SIMPLE STORY;SIMPLE STORY;9363.0;7293.0;1205-LED36CL
186613375;SIMPLE STORY;SIMPLE STORY;8922.0;6950.0;1075-8CL
186010092;SIMPLE STORY;SIMPLE STORY;8691.0;6770.0;1119-1PL
186620130;SIMPLE STORY;SIMPLE STORY;6552.0;5372.0;1054-1PL
186613372;SIMPLE STORY;SIMPLE STORY;6897.0;5372.0;1074-6CL
186842113;SIMPLE STORY;SIMPLE STORY;6087.0;4741.0;1009-3CL
186613371;SIMPLE STORY;SIMPLE STORY;5997.0;4671.0;1074-5CL
186620127;SIMPLE STORY;SIMPLE STORY;5197.0;4261.0;1051-1PL
182712368;SIMPLE STORY;SIMPLE STORY;4800.0;3739.0;2057-LED3PLW
187466963;SIMPLE STORY;SIMPLE STORY;4676.0;3642.0;1205-LED16CL
186620125;SIMPLE STORY;SIMPLE STORY;4342.0;3382.0;1049-1PL
186937424;SIMPLE STORY;SIMPLE STORY;4072.0;3172.0;1056-LED6PL
187209167;SIMPLE STORY;SIMPLE STORY;3544.0;2760.0;1017-1WL
187617863;SIMPLE STORY;SIMPLE STORY;2652.0;2174.0;1047-1WL
180888161;SIMPLE STORY;SIMPLE STORY;2688.0;2093.0;2043-LED30TRW
187592925;SIMPLE STORY;SIMPLE STORY;2517.0;1960.0;1009-1WL
180721454;SIMPLE STORY;SIMPLE STORY;2406.0;1874.0;2055-LED10CLW
179916582;SIMPLE STORY;SIMPLE STORY;2387.0;1859.0;2040-1TRW
187594397;SIMPLE STORY;SIMPLE STORY;2380.0;1854.0;1059-1WL
182511395;SIMPLE STORY;SIMPLE STORY;2313.0;1801.0;2010-LED20TRB
182511396;SIMPLE STORY;SIMPLE STORY;2313.0;1801.0;2010-LED20TRW
180719550;SIMPLE STORY;SIMPLE STORY;2287.0;1781.0;2052-LED10CLW
179399463;SIMPLE STORY;SIMPLE STORY;2287.0;1781.0;2053-LED10CLB
180717735;SIMPLE STORY;SIMPLE STORY;2287.0;1781.0;2053-LED10CLW
180888163;SIMPLE STORY;SIMPLE STORY;2252.0;1754.0;2043-LED30TRB
179958047;SIMPLE STORY;SIMPLE STORY;2170.0;1690.0;2046-LED10TRB
187810054;SIMPLE STORY;SIMPLE STORY;2086.0;1624.0;2059-LED7CLB
187810056;SIMPLE STORY;SIMPLE STORY;2083.0;1622.0;2060-LED7CLB
180636556;SIMPLE STORY;SIMPLE STORY;2052.0;1598.0;2024-3DLB
180636555;SIMPLE STORY;SIMPLE STORY;2052.0;1598.0;2024-3DLW
180869592;SIMPLE STORY;SIMPLE STORY;1948.0;1517.0;2040-1PLW
180880920;SIMPLE STORY;SIMPLE STORY;1912.0;1489.0;2043-LED20TRB
182711183;SIMPLE STORY;SIMPLE STORY;1852.0;1442.0;2048-LED10PLW
182711182;SIMPLE STORY;SIMPLE STORY;1852.0;1442.0;2049-LED10PLW
187210039;SIMPLE STORY;SIMPLE STORY;1793.0;1396.0;1074-1WL
187210040;SIMPLE STORY;SIMPLE STORY;1707.0;1329.0;1075-1WL
180878226;SIMPLE STORY;SIMPLE STORY;1652.0;1286.0;2043-LED15TRB
180878229;SIMPLE STORY;SIMPLE STORY;1652.0;1286.0;2043-LED15TRW
180648388;SIMPLE STORY;SIMPLE STORY;1572.0;1224.0;2044-LED10TRB
180650211;SIMPLE STORY;SIMPLE STORY;1572.0;1224.0;2045-LED10TRB
180650210;SIMPLE STORY;SIMPLE STORY;1572.0;1224.0;2045-LED10TRW
182529671;SIMPLE STORY;SIMPLE STORY;1557.0;1212.0;2010-LED15TRB
182529672;SIMPLE STORY;SIMPLE STORY;1557.0;1212.0;2010-LED15TRW
180163411;SIMPLE STORY;SIMPLE STORY;1539.0;1198.0;2032-1DLW
179799726;SIMPLE STORY;SIMPLE STORY;1454.0;1132.0;2076-LED12DLW
179799724;SIMPLE STORY;SIMPLE STORY;1454.0;1132.0;2076-LED12DLB
187759045;SIMPLE STORY;SIMPLE STORY;1428.0;1112.0;2042-1TRW
182520641;SIMPLE STORY;SIMPLE STORY;1427.0;1111.0;2010-LED10TRW
180359558;SIMPLE STORY;SIMPLE STORY;1267.0;986.0;2035-1CLW
180262063;SIMPLE STORY;SIMPLE STORY;1144.0;891.0;2039-1CLB
180875978;SIMPLE STORY;SIMPLE STORY;1128.0;878.0;2043-LED10TRB
182315468;SIMPLE STORY;SIMPLE STORY;1095.0;853.0;2020-1CLW
180423646;SIMPLE STORY;SIMPLE STORY;1035.0;806.0;2010-LED5TRW
181125805;SIMPLE STORY;SIMPLE STORY;950.0;779.0;2066-1DLB
180458529;SIMPLE STORY;SIMPLE STORY;995.0;775.0;2075-1DLB
181290544;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2068-1DLB
180463256;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2073-1DLGRW
180463258;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2073-1DLGRB
179763786;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2028-1DLW
180891384;SIMPLE STORY;SIMPLE STORY;928.0;722.0;2043-LED5TRB
180529630;SIMPLE STORY;SIMPLE STORY;909.0;708.0;2074-1DLW
180225736;SIMPLE STORY;SIMPLE STORY;842.0;655.0;2027-1DLB
180225737;SIMPLE STORY;SIMPLE STORY;842.0;655.0;2027-1DLW
180891382;SIMPLE STORY;SIMPLE STORY;840.0;654.0;2043-LED5TRW
179905698;SIMPLE STORY;SIMPLE STORY;806.0;627.0;2031-1DLB
187945901;SIMPLE STORY;SIMPLE STORY;790.0;615.0;2023-1DLB
187980496;SIMPLE STORY;SIMPLE STORY;710.0;553.0;2026-1DLB
179729303;SIMPLE STORY;SIMPLE STORY;540.0;420.0;2011-1DLW
180880919;SIMPLE STORY;SIMPLE STORY;2212.0;1723.0;2043-LED20TRW
179729304;SIMPLE STORY;SIMPLE STORY;540.0;420.0;2012-1DLW
187823636;SIMPLE STORY;SIMPLE STORY;564.0;439.0;2013-1DLW
187823637;SIMPLE STORY;SIMPLE STORY;594.0;462.0;2014-1DLW
